"phenomenon","severity","year","total_deforestation","total_fires"
El Nino,Weak,2004,1326416,874548
La Nina,Weak,2005,907872,854880
El Nino,Weak,2005,907872,854880
La Nina,Weak,2006,680644,577688
El Nino,Weak,2006,680644,577688
La Nina,Strong,2007,558044,745920
El Nino,Weak,2007,558044,745920
La Nina,Strong,2008,609060,413812
La Nina,Weak,2008,609060,413812
El Nino,Moderate,2009,356132,326728
La Nina,Weak,2009,356132,326728
El Nino,Moderate,2010,331480,538456
La Nina,Strong,2010,331480,538456
La Nina,Moderate,2011,304712,232744
La Nina,Strong,2011,304712,232744
La Nina,Moderate,2012,216552,346876
,,2013,279820,234752
El Nino,Weak,2014,236552,330216
El Nino,Weak,2015,297636,425752
El Nino,Very Strong,2015,297636,425752
La Nina,Weak,2016,377240,351044
El Nino,Very Strong,2016,377240,351044
La Nina,Weak,2017,660048,859512
La Nina,Weak,2018,359760,273380
El Nino,Weak,2018,359760,273380
El Nino,Weak,2019,468416,352540
